출발 국가,항공사,출발 공항,도착 공항,도착 국가,도착국가이름,년도,월,운항회수,출발 국가,도착 국가,정원(전체)
KAZ,Aeroflot,ALA,SVO,RUS,러시아,2017,7,72,72,72,11693
KAZ,Aeroflot,ALA,SVO,RUS,러시아,2017,8,70,70,70,11941
KAZ,Aeroflot,ALA,SVO,RUS,러시아,2017,9,69,69,69,11825
KAZ,Aeroflot,ALA,SVO,RUS,러시아,2017,10,71,71,71,11962
KAZ,Aeroflot,ALA,SVO,RUS,러시아,2017,11,68,68,68,11284
KAZ,Aeroflot,ALA,SVO,RUS,러시아,2017,12,71,71,71,12193
KAZ,Aeroflot,ALA,SVO,RUS,러시아,2018,1,68,68,68,10684
KAZ,Aeroflot,ALA,SVO,RUS,러시아,2018,2,64,64,64,10826
KAZ,Aeroflot,ALA,SVO,RUS,러시아,2018,3,71,71,71,11811
KAZ,Aeroflot,ALA,SVO,RUS,러시아,2018,4,69,69,69,11526
KAZ,Aeroflot,ALA,SVO,RUS,러시아,2018,5,70,70,70,11687
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2016,6,13,13,13,1820
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2016,7,13,13,13,1820
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2016,8,13,13,13,1838
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2016,9,13,13,13,1856
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2016,10,13,13,13,1892
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2016,11,13,13,13,1904
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2016,12,13,13,13,1856
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2017,1,13,13,13,1838
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2017,2,8,8,8,1174
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2017,3,13,13,13,1856
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2017,4,13,13,13,2018
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2017,5,14,14,14,2158
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2017,6,13,13,13,2054
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2017,7,13,13,13,2054
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2017,8,14,14,14,2212
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2017,9,12,12,12,1896
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2017,10,14,14,14,2176
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2017,11,13,13,13,1982
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2017,12,13,13,13,1946
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2018,1,13,13,13,1982
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2018,2,12,12,12,1806
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2018,3,13,13,13,1892
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2018,4,13,13,13,1982
KAZ,Aeroflot,CIT,SVO,RUS,러시아,2018,5,14,14,14,2158
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2016,6,13,13,13,1202
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2016,7,14,14,14,1324
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2016,8,13,13,13,1184
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2016,9,13,13,13,1131
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2016,10,13,13,13,1184
KAZ,Aeroflot,GUW,SVO,RUS,러시아,2016,11,13,13,13,1898
