,출발 국가,도착 국가,출발국가이름,도착국가이름
162,TJK,IND,타지키스탄,인도
163,TJK,IND,타지키스탄,인도
164,TJK,IND,타지키스탄,인도
165,TJK,IND,타지키스탄,인도
166,TJK,IND,타지키스탄,인도
167,TJK,IND,타지키스탄,인도
168,TJK,IND,타지키스탄,인도
169,TJK,IND,타지키스탄,인도
170,TJK,RUS,타지키스탄,러시아
171,TJK,RUS,타지키스탄,러시아
172,TJK,RUS,타지키스탄,러시아
173,TJK,RUS,타지키스탄,러시아
174,TJK,RUS,타지키스탄,러시아
175,TJK,RUS,타지키스탄,러시아
176,TJK,RUS,타지키스탄,러시아
177,TJK,RUS,타지키스탄,러시아
178,TJK,RUS,타지키스탄,러시아
179,TJK,RUS,타지키스탄,러시아
180,TJK,RUS,타지키스탄,러시아
181,TJK,RUS,타지키스탄,러시아
182,TJK,RUS,타지키스탄,러시아
183,TJK,RUS,타지키스탄,러시아
184,TJK,RUS,타지키스탄,러시아
185,TJK,RUS,타지키스탄,러시아
186,TJK,RUS,타지키스탄,러시아
187,TJK,RUS,타지키스탄,러시아
188,TJK,RUS,타지키스탄,러시아
189,TJK,RUS,타지키스탄,러시아
190,TJK,RUS,타지키스탄,러시아
191,TJK,RUS,타지키스탄,러시아
192,TJK,RUS,타지키스탄,러시아
193,TJK,RUS,타지키스탄,러시아
194,TJK,RUS,타지키스탄,러시아
195,TJK,RUS,타지키스탄,러시아
196,TJK,RUS,타지키스탄,러시아
197,TJK,RUS,타지키스탄,러시아
198,TJK,RUS,타지키스탄,러시아
199,TJK,RUS,타지키스탄,러시아
200,TJK,RUS,타지키스탄,러시아
201,TJK,RUS,타지키스탄,러시아
202,TJK,RUS,타지키스탄,러시아
203,TJK,RUS,타지키스탄,러시아
204,TJK,RUS,타지키스탄,러시아
205,TJK,RUS,타지키스탄,러시아
206,TJK,RUS,타지키스탄,러시아
207,TJK,RUS,타지키스탄,러시아
208,TJK,RUS,타지키스탄,러시아
209,TJK,RUS,타지키스탄,러시아
210,TJK,RUS,타지키스탄,러시아
211,TJK,RUS,타지키스탄,러시아
212,TJK,RUS,타지키스탄,러시아
213,TJK,RUS,타지키스탄,러시아
214,TJK,RUS,타지키스탄,러시아
215,TJK,RUS,타지키스탄,러시아
216,TJK,RUS,타지키스탄,러시아
217,TJK,RUS,타지키스탄,러시아
218,TJK,RUS,타지키스탄,러시아
219,TJK,RUS,타지키스탄,러시아
220,TJK,RUS,타지키스탄,러시아
221,TJK,RUS,타지키스탄,러시아
222,TJK,RUS,타지키스탄,러시아
223,TJK,RUS,타지키스탄,러시아
224,TJK,RUS,타지키스탄,러시아
225,TJK,RUS,타지키스탄,러시아
226,TJK,RUS,타지키스탄,러시아
227,TJK,RUS,타지키스탄,러시아
228,TJK,RUS,타지키스탄,러시아
229,TJK,RUS,타지키스탄,러시아
230,TJK,RUS,타지키스탄,러시아
231,TJK,RUS,타지키스탄,러시아
232,TJK,RUS,타지키스탄,러시아
233,TJK,RUS,타지키스탄,러시아
234,TJK,RUS,타지키스탄,러시아
235,TJK,RUS,타지키스탄,러시아
236,TJK,RUS,타지키스탄,러시아
237,TJK,RUS,타지키스탄,러시아
238,TJK,RUS,타지키스탄,러시아
239,TJK,RUS,타지키스탄,러시아
240,TJK,RUS,타지키스탄,러시아
241,TJK,RUS,타지키스탄,러시아
242,TJK,RUS,타지키스탄,러시아
243,TJK,RUS,타지키스탄,러시아
244,TJK,RUS,타지키스탄,러시아
245,TJK,RUS,타지키스탄,러시아
246,TJK,RUS,타지키스탄,러시아
247,TJK,RUS,타지키스탄,러시아
248,TJK,RUS,타지키스탄,러시아
249,TJK,RUS,타지키스탄,러시아
250,TJK,RUS,타지키스탄,러시아
251,TJK,RUS,타지키스탄,러시아
252,TJK,RUS,타지키스탄,러시아
253,TJK,RUS,타지키스탄,러시아
254,TJK,RUS,타지키스탄,러시아
255,TJK,RUS,타지키스탄,러시아
256,TJK,RUS,타지키스탄,러시아
257,TJK,RUS,타지키스탄,러시아
258,TJK,RUS,타지키스탄,러시아
259,TJK,RUS,타지키스탄,러시아
260,TJK,RUS,타지키스탄,러시아
261,TJK,RUS,타지키스탄,러시아
262,TJK,RUS,타지키스탄,러시아
263,TJK,RUS,타지키스탄,러시아
264,TJK,RUS,타지키스탄,러시아
265,TJK,RUS,타지키스탄,러시아
266,TJK,RUS,타지키스탄,러시아
267,TJK,RUS,타지키스탄,러시아
268,TJK,RUS,타지키스탄,러시아
269,TJK,RUS,타지키스탄,러시아
270,TJK,RUS,타지키스탄,러시아
271,TJK,RUS,타지키스탄,러시아
272,TJK,RUS,타지키스탄,러시아
273,TJK,KGZ,타지키스탄,키르기스스탄
274,TJK,KGZ,타지키스탄,키르기스스탄
275,TJK,KGZ,타지키스탄,키르기스스탄
276,TJK,KGZ,타지키스탄,키르기스스탄
277,TJK,KGZ,타지키스탄,키르기스스탄
278,TJK,KGZ,타지키스탄,키르기스스탄
279,TJK,KGZ,타지키스탄,키르기스스탄
280,TJK,KGZ,타지키스탄,키르기스스탄
281,TJK,KGZ,타지키스탄,키르기스스탄
282,TJK,KGZ,타지키스탄,키르기스스탄
283,TJK,KGZ,타지키스탄,키르기스스탄
284,TJK,KGZ,타지키스탄,키르기스스탄
285,TJK,KGZ,타지키스탄,키르기스스탄
286,TJK,KGZ,타지키스탄,키르기스스탄
287,TJK,KGZ,타지키스탄,키르기스스탄
288,TJK,KGZ,타지키스탄,키르기스스탄
289,TJK,KGZ,타지키스탄,키르기스스탄
290,TJK,KGZ,타지키스탄,키르기스스탄
291,TJK,KGZ,타지키스탄,키르기스스탄
292,TJK,KGZ,타지키스탄,키르기스스탄
293,TJK,KGZ,타지키스탄,키르기스스탄
294,TJK,KGZ,타지키스탄,키르기스스탄
295,TJK,KGZ,타지키스탄,키르기스스탄
296,TJK,KGZ,타지키스탄,키르기스스탄
297,TJK,KGZ,타지키스탄,키르기스스탄
298,TJK,KGZ,타지키스탄,키르기스스탄
299,TJK,KGZ,타지키스탄,키르기스스탄
300,TJK,KGZ,타지키스탄,키르기스스탄
301,TJK,KGZ,타지키스탄,키르기스스탄
302,TJK,KGZ,타지키스탄,키르기스스탄
303,TJK,KGZ,타지키스탄,키르기스스탄
304,TJK,KGZ,타지키스탄,키르기스스탄
305,TJK,KGZ,타지키스탄,키르기스스탄
306,TJK,KGZ,타지키스탄,키르기스스탄
307,TJK,KGZ,타지키스탄,키르기스스탄
308,TJK,KGZ,타지키스탄,키르기스스탄
309,TJK,KGZ,타지키스탄,키르기스스탄
310,TJK,KGZ,타지키스탄,키르기스스탄
311,TJK,KGZ,타지키스탄,키르기스스탄
312,TJK,KGZ,타지키스탄,키르기스스탄
313,TJK,KGZ,타지키스탄,키르기스스탄
314,TJK,KGZ,타지키스탄,키르기스스탄
315,TJK,KGZ,타지키스탄,키르기스스탄
316,TJK,KGZ,타지키스탄,키르기스스탄
317,TJK,KGZ,타지키스탄,키르기스스탄
318,TJK,KGZ,타지키스탄,키르기스스탄
319,TJK,KGZ,타지키스탄,키르기스스탄
320,TJK,KGZ,타지키스탄,키르기스스탄
321,TJK,KGZ,타지키스탄,키르기스스탄
322,TJK,KGZ,타지키스탄,키르기스스탄
323,TJK,KGZ,타지키스탄,키르기스스탄
324,TJK,KGZ,타지키스탄,키르기스스탄
325,TJK,KGZ,타지키스탄,키르기스스탄
326,TJK,KGZ,타지키스탄,키르기스스탄
327,TJK,KGZ,타지키스탄,키르기스스탄
328,TJK,KGZ,타지키스탄,키르기스스탄
329,TJK,KGZ,타지키스탄,키르기스스탄
330,TJK,KGZ,타지키스탄,키르기스스탄
331,TJK,KGZ,타지키스탄,키르기스스탄
332,TJK,KGZ,타지키스탄,키르기스스탄
333,TJK,KGZ,타지키스탄,키르기스스탄
334,TJK,KGZ,타지키스탄,키르기스스탄
335,KGZ,TJK,키르기스스탄,타지키스탄
336,KGZ,TJK,키르기스스탄,타지키스탄
337,KGZ,TJK,키르기스스탄,타지키스탄
338,KGZ,TJK,키르기스스탄,타지키스탄
339,KGZ,TJK,키르기스스탄,타지키스탄
340,KGZ,TJK,키르기스스탄,타지키스탄
341,KGZ,TJK,키르기스스탄,타지키스탄
342,KGZ,TJK,키르기스스탄,타지키스탄
343,KGZ,TJK,키르기스스탄,타지키스탄
344,KGZ,TJK,키르기스스탄,타지키스탄
345,KGZ,TJK,키르기스스탄,타지키스탄
346,KGZ,TJK,키르기스스탄,타지키스탄
347,KGZ,TJK,키르기스스탄,타지키스탄
348,KGZ,TJK,키르기스스탄,타지키스탄
349,KGZ,TJK,키르기스스탄,타지키스탄
350,KGZ,TJK,키르기스스탄,타지키스탄
351,KGZ,TJK,키르기스스탄,타지키스탄
352,KGZ,TJK,키르기스스탄,타지키스탄
353,KGZ,TJK,키르기스스탄,타지키스탄
354,KGZ,TJK,키르기스스탄,타지키스탄
355,KGZ,TJK,키르기스스탄,타지키스탄
356,KGZ,TJK,키르기스스탄,타지키스탄
357,KGZ,TJK,키르기스스탄,타지키스탄
358,KGZ,TJK,키르기스스탄,타지키스탄
359,KGZ,TJK,키르기스스탄,타지키스탄
360,KGZ,TJK,키르기스스탄,타지키스탄
361,KGZ,TJK,키르기스스탄,타지키스탄
362,KGZ,TJK,키르기스스탄,타지키스탄
363,KGZ,TJK,키르기스스탄,타지키스탄
364,KGZ,TJK,키르기스스탄,타지키스탄
365,KGZ,TJK,키르기스스탄,타지키스탄
366,KGZ,TJK,키르기스스탄,타지키스탄
367,KGZ,TJK,키르기스스탄,타지키스탄
368,KGZ,TJK,키르기스스탄,타지키스탄
369,KGZ,TJK,키르기스스탄,타지키스탄
370,KGZ,TJK,키르기스스탄,타지키스탄
371,KGZ,TJK,키르기스스탄,타지키스탄
372,KGZ,TJK,키르기스스탄,타지키스탄
373,KGZ,TJK,키르기스스탄,타지키스탄
374,KGZ,TJK,키르기스스탄,타지키스탄
375,KGZ,TJK,키르기스스탄,타지키스탄
376,KGZ,TJK,키르기스스탄,타지키스탄
377,KGZ,TJK,키르기스스탄,타지키스탄
378,KGZ,TJK,키르기스스탄,타지키스탄
379,KGZ,TJK,키르기스스탄,타지키스탄
