Ç×°ø»ç,Ãâ¹ß °øÇ×,Ãâ¹ß ±¹°¡,Ãâ¹ß±¹°¡ÀÌ¸§,µµÂø °øÇ×,µµÂø ±¹°¡,³âµµ,¿ù,¿îÇ×È¸¼ö,Ãâ¹ß ±¹°¡,µµÂø ±¹°¡,Á¤¿ø(ÀüÃ¼)
Avia Traffic Company,FRU,KGZ,Å°¸£±â½º½ºÅº,VOZ,RUS,2018,5,2,2,2,296
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2016,6,6,6,6,888
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2016,7,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2016,8,26,26,26,3848
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2016,9,20,20,20,2960
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2016,10,29,29,29,4324
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2016,11,7,7,7,1068
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2016,12,14,14,14,2456
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2017,1,29,29,29,4868
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2017,2,22,22,22,3832
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2017,3,27,27,27,4860
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2017,4,27,27,27,4732
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2017,5,20,20,20,3216
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2017,6,36,36,36,5840
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2017,7,47,47,47,8044
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2017,8,45,45,45,8068
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2017,9,40,40,40,7168
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2017,10,30,30,30,5400
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2017,11,33,33,33,5940
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2017,12,34,34,34,6120
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2018,1,23,23,23,4140
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2018,2,18,18,18,3240
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2018,3,26,26,26,4648
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2018,4,34,34,34,6120
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,DME,RUS,2018,5,35,35,35,6300
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2016,6,2,2,2,296
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2016,7,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2016,8,4,4,4,592
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2016,9,4,4,4,592
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2016,10,5,5,5,740
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2016,11,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2017,1,4,4,4,592
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2017,2,4,4,4,592
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2017,3,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2017,4,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2017,5,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2017,6,3,3,3,508
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2017,7,5,5,5,740
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2017,8,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2017,12,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2018,2,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2018,3,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,IKT,RUS,2018,5,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2016,6,2,2,2,296
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2016,7,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2016,8,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2016,9,4,4,4,592
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2016,10,5,5,5,740
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2016,11,2,2,2,296
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2016,12,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2017,1,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2017,2,3,3,3,476
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2017,3,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2017,4,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2017,5,2,2,2,296
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2017,6,4,4,4,624
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2017,7,5,5,5,740
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2017,8,2,2,2,168
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2017,10,1,1,1,180
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2017,12,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2018,2,2,2,2,296
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2018,3,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2018,4,3,3,3,540
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,KJA,RUS,2018,5,4,4,4,552
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2016,10,3,3,3,540
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2016,11,4,4,4,720
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2016,12,4,4,4,720
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2017,1,4,4,4,720
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2017,2,4,4,4,720
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2017,3,4,4,4,720
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2017,4,4,4,4,720
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2017,5,5,5,5,836
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2017,6,8,8,8,1408
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2017,7,9,9,9,1620
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2017,8,8,8,8,1440
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2017,9,9,9,9,1620
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2017,10,9,9,9,1620
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2017,11,8,8,8,1440
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2017,12,9,9,9,1620
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2018,1,5,5,5,900
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2018,2,4,4,4,720
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2018,3,9,9,9,1620
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2018,4,9,9,9,1620
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,LED,RUS,2018,5,8,8,8,1440
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2016,8,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2016,9,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2016,10,4,4,4,624
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2016,11,4,4,4,592
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2017,1,5,5,5,740
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2017,2,3,3,3,476
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2017,3,2,2,2,328
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2017,4,4,4,4,656
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2017,5,2,2,2,296
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2017,6,7,7,7,1100
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2017,7,11,11,11,1628
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2017,8,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2017,11,3,3,3,508
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2017,12,5,5,5,740
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2018,2,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2018,3,6,6,6,888
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2018,4,4,4,4,720
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,OVB,RUS,2018,5,9,9,9,1284
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2016,6,2,2,2,296
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2016,7,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2016,8,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2016,9,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2016,10,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2016,11,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2017,1,4,4,4,592
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2017,2,4,4,4,624
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2017,3,5,5,5,868
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2017,4,2,2,2,296
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2017,5,5,5,5,740
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2017,6,3,3,3,476
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2017,7,4,4,4,592
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2017,10,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2017,11,2,2,2,328
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2017,12,2,2,2,296
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2018,2,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2018,3,2,2,2,296
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SGC,RUS,2018,5,2,2,2,360
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2016,8,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2016,9,2,2,2,296
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2016,10,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2016,11,2,2,2,296
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2017,1,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2017,2,4,4,4,624
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2017,3,3,3,3,540
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2017,4,4,4,4,688
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2017,5,2,2,2,296
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2017,6,3,3,3,476
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2017,7,5,5,5,740
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2017,8,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2017,9,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2017,12,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2018,2,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2018,3,2,2,2,296
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,SVX,RUS,2018,5,2,2,2,192
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,ZIA,RUS,2017,6,5,5,5,740
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,ZIA,RUS,2017,7,7,7,7,1036
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,ZIA,RUS,2017,8,3,3,3,444
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,ZIA,RUS,2017,9,1,1,1,148
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,ZIA,RUS,2017,11,5,5,5,836
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,ZIA,RUS,2017,12,10,10,10,1480
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,ZIA,RUS,2018,1,3,3,3,540
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,ZIA,RUS,2018,2,10,10,10,1512
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,ZIA,RUS,2018,3,9,9,9,1332
Avia Traffic Company,OSS,KGZ,Å°¸£±â½º½ºÅº,ZIA,RUS,2018,5,3,3,3,540
Bek Air,ALA,KAZ,Ä«ÀÚÈå½ºÅº,KBL,AFG,2016,6,2,2,2,200
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,6,13,13,13,2370
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,7,13,13,13,2370
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,8,13,13,13,2448
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,9,13,13,13,2376
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,10,13,13,13,2442
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,11,13,13,13,2454
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,12,13,13,13,2451
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,1,13,13,13,2388
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,2,12,12,12,2268
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,3,12,12,12,2268
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,4,13,13,13,2457
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,5,13,13,13,2454
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,6,13,13,13,2451
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,7,13,13,13,2451
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,8,14,14,14,2634
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,9,11,11,11,2076
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,10,14,14,14,2640
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,11,13,13,13,2457
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,12,13,13,13,2457
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2018,1,13,13,13,2457
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2018,2,11,11,11,2079
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2018,3,13,13,13,2457
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2018,4,13,13,13,2451
Belavia,ALA,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2018,5,16,16,16,3018
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2016,6,8,8,8,1377
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2016,7,14,14,14,2420
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2016,8,11,11,11,1988
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2016,9,17,17,17,2676
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2016,10,4,4,4,750
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2016,11,5,5,5,801
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2016,12,6,6,6,1011
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2017,1,8,8,8,1348
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2017,2,8,8,8,1141
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2017,3,8,8,8,1085
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2017,4,5,5,5,835
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2017,5,6,6,6,1011
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2017,6,9,9,9,1701
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2017,7,11,11,11,1991
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2017,8,14,14,14,2397
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2017,9,16,16,16,2194
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2017,10,4,4,4,539
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2017,11,5,5,5,753
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2017,12,4,4,4,674
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2018,1,4,4,4,715
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2018,2,4,4,4,687
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2018,3,4,4,4,508
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2018,4,4,4,4,483
Belavia,ASB,TKM,Åõ¸£Å©¸Þ´Ï½ºÅº,MSQ,BLR,2018,5,5,5,5,603
Belavia,DYU,TJK,Å¸ÁöÅ°½ºÅº,MSQ,BLR,2018,5,2,2,2,378
Belavia,FRU,KGZ,Å°¸£±â½º½ºÅº,MSQ,BLR,2017,11,1,1,1,107
Belavia,KGF,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,6,1,1,1,120
Belavia,KGF,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,7,4,4,4,511
Belavia,KGF,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,8,5,5,5,634
Belavia,KGF,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,9,1,1,1,120
Belavia,KGF,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,6,1,1,1,123
Belavia,KGF,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,7,4,4,4,489
Belavia,KGF,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,8,4,4,4,483
Belavia,KSN,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,6,1,1,1,120
Belavia,KSN,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,7,9,9,9,1164
Belavia,KSN,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,8,8,8,8,1100
Belavia,KSN,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,9,2,2,2,243
Belavia,KSN,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,6,1,1,1,120
Belavia,KSN,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,7,8,8,8,969
Belavia,KSN,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,8,9,9,9,1101
Belavia,KSN,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,9,1,1,1,107
Belavia,PWQ,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,6,1,1,1,148
Belavia,PWQ,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,7,9,9,9,1276
Belavia,PWQ,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,8,9,9,9,1095
Belavia,PWQ,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,9,2,2,2,243
Belavia,PWQ,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,6,9,9,9,1167
Belavia,PWQ,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,8,9,9,9,1192
Belavia,TAS,UZB,¿ìÁîº£Å°½ºÅº,MSQ,BLR,2016,11,1,1,1,120
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,6,30,30,30,4025
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,7,36,36,36,5594
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,8,36,36,36,5502
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,9,30,30,30,3725
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,10,31,31,31,3322
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,11,28,28,28,3176
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2016,12,27,27,27,3341
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,1,25,25,25,2644
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,2,21,21,21,2216
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,3,24,24,24,2937
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,4,30,30,30,3236
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,5,31,31,31,3371
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,6,30,30,30,4210
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,7,39,39,39,6223
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,8,40,40,40,6326
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,9,30,30,30,4056
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,10,30,30,30,3210
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,11,23,23,23,2487
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2017,12,22,22,22,2682
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2018,1,21,21,21,2345
Belavia,TSE,KAZ,Ä«ÀÚÈå½ºÅº,MSQ,BLR,2018,2,20,20,20,2156
