Ç×°ø»ç,Ãâ¹ß °øÇ×,Ãâ¹ß ±¹°¡,Ãâ¹ß±¹°¡ÀÌ¸§,µµÂø °øÇ×,µµÂø ±¹°¡,³âµµ,¿ù,¿îÇ×È¸¼ö,Ãâ¹ß ±¹°¡,µµÂø ±¹°¡,Á¤¿ø(ÀüÃ¼)
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,LED,RUS,2017,7,18,18,18,2304
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,LED,RUS,2017,8,17,17,17,2176
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,LED,RUS,2017,9,18,18,18,2304
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,LED,RUS,2017,10,13,13,13,1664
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,LED,RUS,2017,11,9,9,9,1152
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,LED,RUS,2017,12,8,8,8,1036
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,LED,RUS,2018,1,4,4,4,524
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,6,68,68,68,10174
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,7,71,71,71,10906
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,8,71,71,71,11093
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,9,68,68,68,10980
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,10,72,72,72,11466
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,11,67,67,67,10730
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,12,70,70,70,11217
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,1,68,68,68,10901
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,2,64,64,64,10065
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,3,69,69,69,10855
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,4,69,69,69,10590
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,5,71,71,71,10813
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,6,68,68,68,10903
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,7,72,72,72,11693
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,8,70,70,70,11941
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,9,69,69,69,11825
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,10,71,71,71,11962
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,11,68,68,68,11284
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,12,71,71,71,12193
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,1,68,68,68,10684
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,2,64,64,64,10826
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,3,71,71,71,11811
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,4,69,69,69,11526
Aeroflot,ALA,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,5,70,70,70,11687
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,6,13,13,13,1820
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,7,13,13,13,1820
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,8,13,13,13,1838
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,9,13,13,13,1856
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,10,13,13,13,1892
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,11,13,13,13,1904
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,12,13,13,13,1856
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,1,13,13,13,1838
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,2,8,8,8,1174
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,3,13,13,13,1856
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,4,13,13,13,2018
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,5,14,14,14,2158
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,6,13,13,13,2054
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,7,13,13,13,2054
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,8,14,14,14,2212
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,9,12,12,12,1896
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,10,14,14,14,2176
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,11,13,13,13,1982
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,12,13,13,13,1946
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,1,13,13,13,1982
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,2,12,12,12,1806
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,3,13,13,13,1892
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,4,13,13,13,1982
Aeroflot,CIT,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,5,14,14,14,2158
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2016,6,60,60,60,8742
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2016,7,62,62,62,10042
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2016,8,61,61,61,9923
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2016,9,60,60,60,9468
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2016,10,62,62,62,9688
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2016,11,59,59,59,9304
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2016,12,58,58,58,9257
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2017,1,61,61,61,9683
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2017,2,56,56,56,8971
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2017,3,62,62,62,10044
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2017,4,60,60,60,9300
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2017,5,63,63,63,9787
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2017,6,60,60,60,9202
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2017,7,63,63,63,10162
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2017,8,62,62,62,9980
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2017,9,60,60,60,9548
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2017,10,61,61,61,9733
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2017,11,60,60,60,10099
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2017,12,44,44,44,7611
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2018,1,40,40,40,6863
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2018,2,43,43,43,7362
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2018,3,45,45,45,7795
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2018,4,60,60,60,10227
Aeroflot,FRU,KGZ,Å°¸£±â½º½ºÅº,SVO,RUS,2018,5,62,62,62,10440
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,6,13,13,13,1202
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,7,14,14,14,1324
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,8,13,13,13,1184
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,9,13,13,13,1131
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,10,13,13,13,1184
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,11,13,13,13,1898
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,12,13,13,13,2032
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,1,12,12,12,1728
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,2,12,12,12,1728
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,3,14,14,14,2093
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,4,13,13,13,1911
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,5,13,13,13,1858
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,6,13,13,13,1916
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,7,13,13,13,2173
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,8,13,13,13,2186
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,9,13,13,13,2142
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,10,13,13,13,2104
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,11,13,13,13,1985
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,12,14,14,14,2256
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,1,13,13,13,2151
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,2,12,12,12,1978
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,3,13,13,13,2040
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,4,13,13,13,2182
Aeroflot,GUW,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,5,13,13,13,2204
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,6,30,30,30,4692
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,7,44,44,44,6466
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,8,44,44,44,6635
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,9,43,43,43,6488
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,10,42,42,42,6396
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,11,30,30,30,4734
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,12,30,30,30,4740
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,1,29,29,29,4594
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,2,27,27,27,4291
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,3,30,30,30,4752
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,4,30,30,30,4650
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,5,31,31,31,4862
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,6,42,42,42,6644
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,7,44,44,44,6808
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,8,45,45,45,7111
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,9,43,43,43,6704
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,10,31,31,31,4862
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,11,30,30,30,4650
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,12,31,31,31,4898
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,1,32,32,32,5002
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,2,26,26,26,4072
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,3,31,31,31,4880
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,4,30,30,30,4740
Aeroflot,KGF,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2018,5,31,31,31,4898
Aeroflot,KSN,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2017,6,12,12,12,1044
