Date,High,Low,Open,Close,Volume,Adj Close
2014-02-19,42217.5,38505.19921875,39023.19921875,41311.0,3509017,41311.0
2014-02-20,41699.5,39843.30078125,41570.0,40145.5,1413760,40145.5
2014-02-21,41267.8984375,39972.80078125,40490.8984375,40620.3984375,793916,40620.3984375
2014-02-24,41915.3984375,40620.3984375,40922.5,40706.69921875,884032,40706.69921875
2014-02-25,41267.8984375,40275.0,41052.0,40922.5,501225,40922.5
2014-02-26,41354.19921875,39843.30078125,40749.8984375,40706.69921875,749184,40706.69921875
2014-02-27,41656.3984375,40620.3984375,40620.3984375,40836.19921875,683058,40836.19921875
2014-02-28,41440.5,40793.0,40965.69921875,41397.3984375,646716,41397.3984375
2014-03-03,42865.0,41483.69921875,41656.3984375,42778.69921875,1574901,42778.69921875
2014-03-04,42821.8984375,39757.0,42649.19921875,39929.69921875,1229417,39929.69921875
2014-03-05,40836.19921875,39282.19921875,40706.69921875,39929.69921875,1732986,39929.69921875
2014-03-06,40231.80078125,38807.30078125,39929.69921875,39325.30078125,972047,39325.30078125
2014-03-07,40059.19921875,39498.0,39886.5,39843.30078125,530113,39843.30078125
2014-03-10,40447.69921875,39066.30078125,39713.80078125,39929.69921875,611660,39929.69921875
2014-03-11,40663.5,39929.69921875,39929.69921875,40577.19921875,553605,40577.19921875
2014-03-12,39411.69921875,36519.5,39023.19921875,37210.1015625,3303296,37210.1015625
2014-03-13,37857.69921875,35613.0,37382.80078125,37296.5,2074479,37296.5
2014-03-14,37037.5,36260.5,36778.5,36260.5,723670,36260.5
2014-03-17,36519.5,35613.0,35915.1015625,35915.1015625,500602,35915.1015625
2014-03-18,36649.0,36217.30078125,36260.5,36260.5,366901,36260.5
2014-03-19,36562.6015625,35915.1015625,36476.30078125,35915.1015625,371144,35915.1015625
2014-03-20,36044.6015625,34792.80078125,35742.5,35310.80078125,695340,35310.80078125
2014-03-21,36001.5,35267.6015625,35267.6015625,35872.0,368790,35872.0
2014-03-24,36346.80078125,35699.30078125,36346.80078125,35699.30078125,321060,35699.30078125
